Hindi,English
है,Is
के,Of
मैं,I
नहीं,No
हैं,Are
में,In
एक,One
आप,You
लिए,For
और,And
यह,This
से,From
की,Did
क्या,What
कि,That
तुम,You
हो,Are
कर,Tax
मुझे,Me
को,To
हम,We
था,Was
वह,He
पर,But
हूँ,am
रहे,are
भी,Too
रहा,Stayed
का,Of
अपने,Our
कुछ,Some
तो,So
गया,Went
इस,This
मेरे,My
ठीक,Correct
करने,Do
किया,Did
साथ,Together
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,But
यहाँ,Here
तुम्हें,You
कोई,Any
तरह,Kind
अब,Now
पता,Address
होगा,Will happen
बहुत,Very
बात,Talk
सकता,Can
जाओ,Go
ही,Sole
दिया,Gave
करना,Doing
जा,Go
मेरी,My
सब,All
बारे,About
लगता,Festive
कहा,Said
जो,Who
वहाँ,There
जब,When
इसे,This
अच्छा,Good
चाहिए,Needed
बाहर,Outside
करो,Do
क्यों,Why
अपनी,Own
थे,Were
चलो,Let us go
दो,Two
ले,Take
किसी,Any 
फिर,Then
काम,Work
अगर,If
ये,These
कैसे,How
करते,Do
पहले,Earlier
बस,Bus
चाहते,Want
जाएगा,Will go
आदमी,Man
कभी,Sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,As far as
हमारे,Our
मेरा,My
रूप,Form
मैंने,I
करता,Do
या,Or
अभी,Now
मिल,Mill
चाहता,Want
घर,Home
उसके,His
सभी,All
उस,That
मत,Don't
आपको,To you
जाना,Go
अरे,Hey
सिर्फ,Only
बंद,Close
ओह,Oh
उन्हें,Them
सही,Correct
हूं,Am
थी,Was
देखो,See
ने,has
तुम्हारे,Your
प्यार,Dear
वो,They
जरूरत,Need
लोगों,People
हुआ,Happened
करें,Do
ऐसा,As such
उन्होंने,They
दिन,Day
न,No
बाद,Afterwards
कौन,Who
हर,Each
पास,Near
दे,Give
नीचे,Below
देखा,saw
जाता,go
बार,Times
कृपया,Please
धन्यवाद,Thank you
पिता,Father
करेंगे,do
भगवान,God
क्योंकि,Because
लोग,People
वाला,Wave
जानते,Know
देख,See
छोड़,leave
आज,Today
मतलब,Meaning
कहाँ,Where?
जीवन,Life
आओ,Come
जाने,Go
अधिक,More
यही,This only
होता,Would
सर,Sir
मदद,Help
रात,Night
माँ,Mother
लिया,took
केवल,Only
तुमने,You
सबसे,To all
नाम,Name
मार,Kill
हुए,Has
हमेशा,Always
याद,Memory
कारण,Cause
गए,Went
आया,Came
जानता,knows
शायद,Perhaps
साल,Year
दूर,Distant
हे,Hey
होने,Having
फोन,Phone
भाई,Brother
वास्तव,Reality
शुरू,Start
उसकी,His
मिला,found
जगह,Place
कोशिश,Effort
कम,Less
सच,Truth
लग,Lag
शादी,Marriage
पसंद,Like
चला,walked
